angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(853, 227, 345, 345)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(853, 226, 345, 345)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(853, 226, 345, 345)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(852, 225, 344, 344)",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"(850, 225, 345, 345)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(849, 224, 344, 344)",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"(849, 224, 345, 345)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(849, 224, 345, 345)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(849, 225, 343, 343)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(850, 226, 342, 342)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(848, 224, 344, 344)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(830, 208, 370, 370)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(830, 208, 370, 370)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(848, 223, 345, 345)",0.0,0.0,0.95,0.0,0.0,0.04
0.0,"(848, 223, 345, 345)",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"(847, 224, 345, 345)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(848, 225, 344, 344)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(848, 225, 344, 344)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(852, 226, 341, 341)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(851, 225, 343, 343)",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"(852, 225, 344, 344)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(853, 226, 343, 343)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(828, 205, 372, 372)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(830, 205, 371, 371)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(830, 205, 371, 371)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(834, 207, 368, 368)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(833, 207, 368, 368)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(833, 207, 368, 368)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(833, 206, 374, 374)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(834, 207, 374, 374)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(836, 205, 364, 364)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(835, 205, 365, 365)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(835, 205, 365, 365)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(837, 205, 364, 364)",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"(837, 205, 364, 364)",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"(836, 204, 366, 366)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(836, 204, 366, 366)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(836, 204, 366, 366)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(835, 205, 365, 365)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(835, 205, 365, 365)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(835, 205, 365, 365)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(835, 205, 365, 365)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(835, 205, 365, 365)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(832, 204, 370, 370)",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"(832, 204, 370, 370)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(854, 222, 344, 344)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(854, 222, 344, 344)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(854, 222, 344, 344)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(850, 223, 343, 343)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(850, 223, 343, 343)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(849, 223, 343, 343)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(849, 223, 343, 343)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(825, 204, 375, 375)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(849, 222, 345, 345)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(848, 222, 345, 345)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(826, 205, 369, 369)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(826, 205, 369, 369)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(826, 205, 369, 369)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(851, 224, 342, 342)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(851, 224, 342, 342)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(852, 224, 343, 343)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(852, 224, 343, 343)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(852, 224, 343, 343)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(856, 228, 339, 339)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(855, 228, 340, 340)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(857, 227, 339, 339)",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"(857, 227, 339, 339)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(857, 227, 339, 339)",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"(833, 207, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(833, 207, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(836, 207, 366, 366)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(836, 208, 366, 366)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(836, 208, 366, 366)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(835, 207, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(835, 207, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(835, 207, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(835, 207, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(835, 207, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(836, 206, 369, 369)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(836, 207, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(836, 207, 367, 367)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(836, 206, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(835, 205, 371, 371)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(835, 205, 370, 370)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(835, 205, 370, 370)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(836, 206, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(836, 206, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(836, 206, 368, 368)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(835, 206, 370, 370)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(835, 206, 370, 370)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(834, 206, 372, 372)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(834, 206, 372, 372)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(834, 206, 372, 372)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(837, 213, 362, 362)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(837, 213, 362, 362)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(837, 212, 364, 364)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(837, 212, 364, 364)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(837, 212, 364, 364)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(834, 209, 370, 370)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(834, 209, 370, 370)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(834, 207, 373, 373)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(834, 207, 373, 373)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(834, 207, 373, 373)",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"(836, 206, 373, 373)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(836, 206, 373, 373)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(837, 206, 373, 373)",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"(838, 206, 372, 372)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(838, 206, 372, 372)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(838, 205, 372, 372)",0.0,0.0,0.94,0.0,0.0,0.06
0.0,"(839, 206, 371, 371)",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"(839, 205, 372, 372)",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"(839, 205, 372, 372)",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"(839, 205, 371, 371)",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"(839, 204, 372, 372)",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"(839, 204, 372, 372)",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"(839, 205, 372, 372)",0.0,0.0,0.96,0.0,0.0,0.04
0.0,"(839, 205, 371, 371)",0.0,0.0,0.96,0.0,0.0,0.03
